"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2024","1.23","1.15","1.34","1.12","96.11K","2.50%"
"11/27/2024","1.20","1.25","1.30","1.20","100.88K","-4.00%"
"11/26/2024","1.25","1.22","1.25","1.18","144.83K","0.81%"
"11/25/2024","1.24","1.24","1.25","1.22","23.45K","0.00%"
"11/22/2024","1.24","1.21","1.25","1.20","46.79K","3.33%"
"11/21/2024","1.20","1.20","1.25","1.20","314.59K","-4.00%"
"11/20/2024","1.25","1.22","1.29","1.20","8.58K","-3.85%"
"11/19/2024","1.30","1.22","1.30","1.20","23.68K","0.78%"
"11/18/2024","1.29","1.25","1.33","0.85","1.28M","-2.27%"
"11/15/2024","1.32","1.27","1.36","0.02","97.62K","3.13%"
"11/14/2024","1.28","1.36","1.36","1.27","80.76K","-5.88%"
"11/13/2024","1.36","1.26","1.38","1.20","20.76K","-1.45%"
"11/12/2024","1.38","1.40","1.40","1.28","12.86K","-1.43%"
"11/11/2024","1.40","1.28","1.40","1.26","110.96K","7.69%"
"11/08/2024","1.30","1.25","1.50","1.25","5.81K","-13.33%"
"11/07/2024","1.50","1.40","1.50","1.05","38.10K","0.00%"
"11/06/2024","1.50","1.35","1.50","1.35","138.23K","13.64%"
"11/05/2024","1.32","1.20","1.35","1.20","19.25K","5.60%"
"11/04/2024","1.25","1.20","1.25","1.18","150.34K","0.00%"
"10/31/2024","1.25","1.25","1.35","1.20","85.82K","-3.85%"
"10/30/2024","1.30","1.21","1.40","1.20","446.87K","-3.70%"
"10/29/2024","1.35","1.35","1.50","1.35","103.32K","-10.00%"
"10/28/2024","1.50","1.39","1.50","1.35","42.44K","-2.60%"
"10/25/2024","1.54","1.70","1.70","1.36","25.88K","0.00%"
"10/24/2024","1.54","1.70","1.70","1.17","94.98K","-7.23%"
"10/23/2024","1.66","1.68","1.68","1.50","35.65K","0.61%"
"10/22/2024","1.65","1.27","1.70","1.27","28.07K","-2.94%"
"10/21/2024","1.70","1.10","1.75","1.10","52.23K","0.00%"
"10/18/2024","1.70","1.75","1.75","1.65","5.33K","-2.86%"
"10/17/2024","1.75","1.65","1.75","1.60","13.78K","-2.23%"
"10/16/2024","1.79","1.65","1.80","1.65","10.64K","-0.56%"
"10/15/2024","1.80","1.65","1.80","1.65","13.26K","2.86%"
"10/14/2024","1.75","1.65","1.85","1.65","125.14K","-2.78%"
"10/11/2024","1.80","1.65","1.80","1.65","3.47K","0.00%"
"10/10/2024","1.80","1.70","1.80","1.65","64.63K","0.00%"
"10/09/2024","1.80","1.80","1.85","1.75","74.64K","-1.64%"
"10/08/2024","1.83","1.90","1.98","1.80","63.76K","-3.68%"
"10/07/2024","1.90","1.85","2.00","1.84","28.52K","-4.04%"
"10/04/2024","1.98","2.00","2.00","1.80","11.35K","-0.50%"
"10/03/2024","1.99","1.85","2.00","1.85","10.40K","-0.50%"
"10/02/2024","2.00","1.85","2.00","1.85","17.47K","2.56%"
"10/01/2024","1.95","1.90","2.00","1.85","70.57K","-2.50%"
"09/30/2024","2.00","1.90","2.03","1.90","16.10K","0.50%"
"09/27/2024","1.99","1.90","2.00","1.90","139.50K","0.00%"
"09/26/2024","1.99","1.90","2.10","1.90","119.18K","-2.93%"
"09/25/2024","2.05","1.90","2.09","1.90","13.46K","0.00%"
"09/24/2024","2.05","1.90","2.10","1.90","11.66K","-2.38%"
"09/23/2024","2.10","1.32","2.20","1.32","30.34K","0.00%"
"09/20/2024","2.10","2.10","2.10","2.10","0.70K","0.00%"
"09/19/2024","2.10","2.10","2.25","2.00","60.79K","-6.67%"
"09/18/2024","2.25","1.80","2.25","1.80","242.03K","4.65%"
"09/17/2024","2.15","2.05","2.20","2.05","5.30K","-2.27%"
"09/16/2024","2.20","2.20","2.20","2.08","129.06K","1.38%"
"09/13/2024","2.17","2.06","2.20","2.06","78.57K","3.33%"
"09/12/2024","2.10","1.20","2.20","1.20","184.55K","5.00%"
"09/11/2024","2.00","2.00","2.25","1.85","507.88K","5.26%"
"09/10/2024","1.90","1.95","1.95","1.85","88.62K","0.00%"
"09/09/2024","1.90","1.95","2.00","1.78","103.83K","1.06%"
"09/06/2024","1.88","1.80","1.88","1.72","184.73K","0.00%"
"09/05/2024","1.88","1.85","1.88","1.72","47.45K","0.00%"
"09/04/2024","1.88","1.80","1.90","1.70","73.25K","-1.05%"
"09/03/2024","1.90","1.75","1.90","1.16","53.88K","0.00%"
"08/30/2024","1.90","1.90","1.90","1.50","42.96K","0.00%"
"08/29/2024","1.90","1.80","1.90","1.80","65.50K","0.00%"
"08/28/2024","1.90","1.85","1.95","1.80","54.56K","2.70%"
"08/27/2024","1.85","2.00","2.00","1.85","5.78K","-2.63%"
"08/26/2024","1.90","1.88","1.90","1.84","18.46K","1.06%"
"08/23/2024","1.88","1.10","1.90","1.10","9.81K","1.62%"
"08/22/2024","1.85","1.75","2.10","1.75","153.67K","-0.54%"
"08/21/2024","1.86","1.85","2.00","1.85","12.75K","-7.00%"
"08/20/2024","2.00","1.15","2.18","1.15","66.46K","-2.44%"
"08/19/2024","2.05","1.30","2.20","1.30","210.83K","-4.65%"
"08/16/2024","2.15","2.20","2.20","2.00","270.91K","0.00%"
"08/15/2024","2.15","1.80","2.20","1.50","377.07K","22.86%"
"08/14/2024","1.75","1.40","1.80","1.12","99.24K","-2.78%"
"08/13/2024","1.80","1.84","1.87","1.70","187.96K","-2.70%"
"08/12/2024","1.85","1.88","1.95","1.85","50.44K","-5.13%"
"08/09/2024","1.95","2.00","2.00","1.20","28.63K","-2.50%"
"08/08/2024","2.00","1.95","2.05","1.95","102.14K","-2.44%"
"08/07/2024","2.05","1.95","2.05","1.95","55.68K","0.00%"
"08/06/2024","2.05","1.90","2.08","1.90","124.67K","2.50%"
"08/05/2024","2.00","2.00","2.20","1.90","253.19K","-10.31%"
"08/02/2024","2.23","2.29","2.29","2.15","23.32K","-3.04%"
"08/01/2024","2.30","2.25","2.38","2.20","54.39K","-2.54%"
"07/31/2024","2.36","2.25","2.40","2.25","142.22K","2.61%"
"07/30/2024","2.30","2.25","2.37","2.15","207.02K","-2.13%"
"07/29/2024","2.35","2.28","2.38","2.25","249.23K","-1.67%"
"07/26/2024","2.39","2.40","2.40","2.10","24.73K","0.00%"
"07/25/2024","2.39","2.10","2.39","2.10","22.30K","-0.42%"
"07/24/2024","2.40","2.10","2.40","2.10","20.04K","0.00%"
"07/23/2024","2.40","2.30","2.40","2.25","25.45K","4.35%"
"07/22/2024","2.30","2.10","2.30","2.10","27.27K","0.00%"
"07/19/2024","2.30","2.10","2.40","2.10","39.95K","2.22%"
"07/18/2024","2.25","2.25","2.29","2.20","45.86K","-2.17%"
"07/17/2024","2.30","2.30","2.35","2.20","28.30K","-2.13%"
"07/16/2024","2.35","2.40","2.48","1.75","124.40K","-5.24%"
"07/15/2024","2.48","1.75","2.48","1.75","270.38K","10.22%"
"07/12/2024","2.25","2.01","2.40","2.01","144.91K","9.76%"
"07/11/2024","2.05","2.00","2.40","1.98","287.93K","5.13%"
"07/10/2024","1.95","1.85","1.95","1.85","34.87K","0.00%"
"07/09/2024","1.95","1.83","1.95","1.80","2.38M","-2.50%"
"07/08/2024","2.00","1.80","2.00","1.80","27.75K","0.00%"
"07/05/2024","2.00","1.80","2.00","1.80","0.78K","0.00%"
"07/03/2024","2.00","1.10","2.01","1.10","64.63K","-1.48%"
"07/02/2024","2.03","1.80","2.05","1.80","16.93K","-0.98%"
"07/01/2024","2.05","1.90","2.10","1.90","44.82K","-6.39%"
"06/28/2024","2.19","2.19","2.19","1.90","24.96K","4.78%"
"06/27/2024","2.09","2.09","2.09","1.84","6.27K","0.00%"
"06/26/2024","2.09","1.85","2.10","1.85","50.41K","4.50%"
"06/25/2024","2.00","1.85","2.00","1.85","10.28K","-2.44%"
"06/24/2024","2.05","1.90","2.05","1.02","59.25K","0.00%"
"06/21/2024","2.05","1.95","2.05","1.84","34.03K","2.50%"
"06/20/2024","2.00","1.95","2.00","1.85","155.06K","1.01%"
"06/18/2024","1.98","2.08","2.08","0.76","44.20K","-4.81%"
"06/17/2024","2.08","2.00","2.30","1.95","99.65K","-0.48%"
"06/14/2024","2.09","2.00","2.40","1.95","146.98K","5.03%"
"06/13/2024","1.99","1.90","2.30","1.80","194.71K","-2.93%"
"06/12/2024","2.05","2.00","2.40","1.95","1.48M","-2.38%"
"06/11/2024","2.10","2.00","2.10","1.85","161.97K","0.00%"
"06/10/2024","2.10","2.10","2.40","2.05","1.63M","-8.30%"
"06/07/2024","2.29","2.10","2.40","2.10","10.72K","-0.43%"
"06/06/2024","2.30","2.27","2.40","1.70","741.09K","-4.17%"
"06/05/2024","2.40","2.40","2.40","2.25","52.01K","0.00%"
"06/04/2024","2.40","2.25","3.00","2.01","773.33K","-7.69%"
"06/03/2024","2.60","2.27","3.00","2.23","16.40K","6.12%"
"05/31/2024","2.45","3.17","3.75","2.07","2.61M","-36.53%"
"05/30/2024","3.86","3.50","3.86","3.50","89.80K","0.00%"
"05/29/2024","3.86","3.00","3.88","3.00","217.72K","-1.53%"
"05/28/2024","3.92","4.00","4.00","3.70","324.49K","-3.21%"
"05/24/2024","4.05","3.15","4.10","3.15","635.84K","3.85%"
"05/23/2024","3.90","3.06","3.95","3.06","103.34K","3.31%"
"05/22/2024","3.78","3.25","3.99","3.00","305.49K","-0.66%"
"05/21/2024","3.80","2.41","3.95","2.41","1.80M","16.92%"
"05/20/2024","3.25","3.00","3.25","3.00","33.81K","-2.99%"
"05/17/2024","3.35","3.15","3.35","3.01","188.16K","7.37%"
"05/16/2024","3.12","2.66","3.45","2.66","104.29K","-8.24%"
"05/15/2024","3.40","3.49","3.59","2.41","255.98K","-1.45%"
"05/14/2024","3.45","3.26","3.45","3.20","194.93K","2.99%"
"05/13/2024","3.35","3.20","3.50","3.20","280.47K","4.69%"
"05/10/2024","3.20","3.10","3.40","3.10","540.73K","0.00%"
"05/09/2024","3.20","2.40","3.25","2.40","4.56K","-2.74%"
"05/08/2024","3.29","3.00","3.30","2.79","77.76K","2.81%"
"05/07/2024","3.20","3.25","3.40","2.65","343.63K","-3.03%"
"05/06/2024","3.30","3.00","3.30","2.60","138.30K","1.54%"
"05/03/2024","3.25","3.00","3.30","2.51","111.98K","0.31%"
"05/02/2024","3.24","3.00","3.33","3.00","308.96K","4.52%"
"05/01/2024","3.10","3.00","3.20","2.75","462.38K","0.00%"
"04/30/2024","3.10","2.80","3.40","2.80","102.70K","-6.34%"
"04/29/2024","3.31","3.00","3.50","2.76","23.77K","-1.19%"
"04/26/2024","3.35","3.35","3.50","2.76","79.10K","0.00%"
"04/25/2024","3.35","3.25","3.40","3.25","27.34K","-2.90%"
"04/24/2024","3.45","3.05","3.50","3.03","321.38K","5.34%"
"04/23/2024","3.28","3.45","3.45","3.25","271.86K","-6.43%"
"04/22/2024","3.50","3.55","3.55","3.25","252.37K","-2.51%"
"04/19/2024","3.59","3.45","3.59","2.50","282.12K","4.06%"
"04/18/2024","3.45","3.30","3.50","3.00","882.52K","4.55%"
"04/17/2024","3.30","2.88","3.35","2.75","493.65K","4.76%"
"04/16/2024","3.15","3.20","3.25","2.80","149.96K","-3.08%"
"04/15/2024","3.25","2.00","3.39","2.00","117.38K","-7.67%"
"04/12/2024","3.52","3.30","3.60","3.30","700.47K","6.67%"
"04/11/2024","3.30","3.30","3.50","2.05","352.55K","-0.60%"
"04/10/2024","3.32","3.00","3.40","3.00","167.20K","-2.35%"
"04/09/2024","3.40","3.01","3.45","3.01","439.51K","4.62%"
"04/08/2024","3.25","3.17","3.35","3.05","524.21K","2.20%"
"04/05/2024","3.18","3.05","3.33","2.93","453.91K","4.26%"
"04/04/2024","3.05","2.75","3.15","2.70","843.41K","19.61%"
"04/03/2024","2.55","2.07","3.24","2.07","1.58M","10.87%"
"04/02/2024","2.30","2.30","2.30","2.00","118.14K","0.00%"
"04/01/2024","2.30","2.29","2.40","1.50","125.31K","0.00%"
"03/28/2024","2.30","2.40","2.43","1.81","96.65K","-4.17%"
"03/27/2024","2.40","2.25","2.43","1.81","253.37K","4.35%"
"03/26/2024","2.30","2.14","2.40","2.14","753.42K","7.48%"
"03/25/2024","2.14","2.00","2.15","1.65","363.56K","1.90%"
"03/22/2024","2.10","2.10","2.15","1.70","686.24K","0.00%"
"03/21/2024","2.10","1.50","2.15","1.50","385.59K","0.00%"
"03/20/2024","2.10","2.00","2.10","1.70","410.11K","2.44%"
"03/19/2024","2.05","1.99","2.10","1.65","553.77K","0.74%"
"03/18/2024","2.04","2.00","2.10","2.00","78.31K","-0.73%"
"03/15/2024","2.05","1.75","2.10","1.75","498.66K","7.89%"
"03/14/2024","1.90","1.36","1.95","1.36","903.12K","5.26%"
"03/13/2024","1.80","1.30","1.97","1.30","397.57K","3.14%"
"03/12/2024","1.75","1.30","1.80","1.30","118.55K","0.57%"
"03/11/2024","1.74","1.30","1.80","1.30","319.31K","0.00%"
"03/08/2024","1.74","1.50","1.80","1.50","88.30K","15.67%"
"03/07/2024","1.50","1.30","1.81","1.30","2.10M","-23.08%"
"03/06/2024","1.95","1.90","2.05","1.30","3.81M","-4.88%"
"03/05/2024","2.05","1.90","2.05","1.90","464.94K","0.00%"
"03/04/2024","2.05","2.00","2.05","1.99","478.83K","2.50%"
"03/01/2024","2.00","1.25","2.00","1.25","209.18K","0.00%"
"02/29/2024","2.00","1.21","2.10","1.21","248.22K","0.00%"
"02/28/2024","2.00","2.00","2.05","1.98","468.84K","0.50%"
"02/27/2024","1.99","2.01","2.10","1.99","368.44K","-5.24%"
"02/26/2024","2.10","2.00","2.10","1.99","516.89K","5.00%"
"02/23/2024","2.00","2.00","2.10","1.96","600.83K","-4.76%"
"02/22/2024","2.10","2.05","2.50","1.65","566.16K","-10.64%"
"02/21/2024","2.35","2.00","2.35","1.65","624.11K","17.21%"
"02/20/2024","2.01","1.61","2.13","1.10","833.53K","0.25%"
"02/16/2024","2.00","1.70","2.05","1.55","1.96M","25.00%"
"02/15/2024","1.60","1.45","1.60","1.45","154.11K","14.29%"
"02/14/2024","1.40","0.90","1.55","0.90","131.86K","12.90%"
"02/13/2024","1.24","1.00","1.27","1.00","175.38K","21.57%"
"02/12/2024","1.02","1.10","1.10","0.98","69.25K","12.09%"
"02/09/2024","0.91","0.95","1.10","0.51","340.12K","-9.00%"
"02/08/2024","1.00","1.00","1.01","0.82","38.81K","-0.99%"
"02/07/2024","1.01","0.50","1.10","0.50","768.32K","-8.18%"
"02/06/2024","1.10","0.50","1.19","0.30","312.05K","-8.33%"
"02/05/2024","1.20","1.30","1.40","1.15","40.81K","-7.69%"
"02/02/2024","1.30","0.05","1.35","0.05","414.87K","0.00%"
"02/01/2024","1.30","1.10","1.40","1.10","907.72K","-13.33%"
"01/31/2024","1.50","1.38","1.56","0.05","552.54K","-9.09%"
"01/30/2024","1.65","1.76","1.80","1.56","162.16K","-5.71%"
"01/29/2024","1.75","1.65","1.95","1.55","262.30K","-2.78%"
"01/26/2024","1.80","1.75","1.89","1.61","133.54K","0.00%"
"01/25/2024","1.80","1.26","1.90","1.26","69.04K","5.88%"
"01/24/2024","1.70","1.30","1.91","1.05","131.38K","9.68%"
"01/23/2024","1.55","1.45","1.70","1.34","1.22M","10.71%"
"01/22/2024","1.40","1.20","1.42","1.00","166.45K","7.69%"
"01/19/2024","1.30","1.13","1.30","1.13","135.37K","1.56%"
"01/18/2024","1.28","1.00","1.30","1.00","1.01M","-1.54%"
"01/17/2024","1.30","1.50","1.51","1.20","951.27K","-16.13%"
"01/16/2024","1.55","1.62","1.80","1.50","2.23M","-16.22%"
"01/12/2024","1.85","2.00","2.04","1.50","1.16M","-2.63%"
"01/11/2024","1.90","2.30","2.65","1.63","1.87M","-28.30%"
"01/10/2024","2.65","2.25","2.75","2.25","425.62K","6.00%"
"01/09/2024","2.50","1.63","2.60","1.63","2.72M","28.21%"
"01/08/2024","1.95","1.63","2.05","1.60","2.42M","5.41%"
"01/05/2024","1.85","1.85","2.00","1.70","583.20K","-5.13%"
"01/04/2024","1.95","1.63","2.00","1.60","3.89M","21.12%"
"01/03/2024","1.61","1.70","1.95","1.60","1.03M","-15.26%"
"01/02/2024","1.90","1.50","2.00","0.76","1.47M","18.68%"
"12/29/2023","1.60","2.00","2.00","0.10","4.48M","-13.46%"
"12/28/2023","1.85","0.95","1.88","0.95","2.40M","68.18%"
"12/27/2023","1.10","0.94","1.14","0.94","1.31M","22.21%"
"12/26/2023","0.90","0.75","1.05","0.75","1.81M","5.89%"
"12/22/2023","0.85","0.76","1.00","0.01","3.51M","13.33%"
"12/21/2023","0.75","0.60","0.95","0.50","5.28M","48.51%"
"12/20/2023","0.50","0.27","0.53","0.25","3.49M","87.04%"
"12/19/2023","0.27","0.01","0.28","0.01","1.99M","54.29%"
"12/18/2023","0.17","0.10","0.18","0.10","191.46K","-12.46%"
"12/15/2023","0.20","0.06","0.25","0.05","2.48M","149.88%"
"12/14/2023","0.08","0.05","0.14","0.03","1.19M","33.33%"
"12/13/2023","0.06","0.01","0.10","0.01","195.28K","96.72%"
"12/12/2023","0.03","0.03","0.08","0.03","35.83K","-56.43%"
"12/11/2023","0.07","0.07","0.07","0.07","54.40K","-12.50%"
"12/08/2023","0.08","0.08","0.08","0.08","45.61K","0.00%"
"12/07/2023","0.08","0.01","0.08","0.01","157.64K","77.78%"
"12/06/2023","0.05","0.02","0.08","0.02","298.06K","80.00%"
"12/05/2023","0.03","0.08","0.08","0.03","104.48K","-68.75%"
"12/04/2023","0.08","0.01","0.08","0.01","67.96K","33.33%"
"12/01/2023","0.06","0.02","0.10","0.02","351.34K","20.00%"
"11/30/2023","0.05","0.01","0.10","0.01","577.37K","150.00%"
"11/29/2023","0.02","0.01","0.02","0.01","124.54K","0.00%"
"11/28/2023","0.02","0.01","0.02","0.01","103.30K","0.00%"
"11/27/2023","0.02","0.01","0.02","0.01","46.06K","70.00%"
"11/24/2023","0.01","0.01","0.01","0.01","","-41.18%"
"11/22/2023","0.02","0.02","0.02","0.02","34.42K","0.00%"
"11/21/2023","0.02","0.01","0.02","0.01","34.44K","0.00%"
"11/20/2023","0.02","0.01","0.02","0.01","48.81K","0.00%"
"11/17/2023","0.02","0.02","0.02","0.01","42.53K","0.00%"
"11/16/2023","0.02","0.02","0.02","0.02","62.88K","0.00%"
"11/15/2023","0.02","0.01","0.02","0.01","17.22K","0.00%"
"11/14/2023","0.02","0.02","0.02","0.02","5.71K","0.00%"
"11/13/2023","0.02","0.02","0.02","0.02","20.88K","0.00%"
"11/10/2023","0.01","0.01","0.02","0.01","96.39K","163.89%"
"11/09/2023","0.01","0.01","0.01","0.01","6.25K","0.00%"
"11/08/2023","0.01","0.01","0.02","0.01","59.38K","-50.00%"
"11/07/2023","0.02","0.00","0.02","0.00","307.25K","0.00%"
"11/06/2023","0.02","0.01","0.02","0.01","72.88K","0.00%"
"11/03/2023","0.01","0.01","0.01","0.01","19.11K","0.00%"
"11/02/2023","0.02","0.01","0.02","0.01","52.95K","220.00%"
"11/01/2023","0.00","0.01","0.01","0.00","48.92K","-54.95%"
"10/31/2023","0.01","0.01","0.01","0.01","40.47K","85.00%"
"10/30/2023","0.01","0.01","0.01","0.01","6.15K","0.00%"
"10/27/2023","0.01","0.00","0.01","0.00","49.32K","0.00%"
"10/26/2023","0.01","0.01","0.01","0.01","12.45K","-76.33%"
"10/25/2023","0.03","0.02","0.03","0.02","8.81K","200.00%"
"10/23/2023","0.01","0.01","0.01","0.01","","0.00%"
"10/20/2023","0.00","0.01","0.01","0.00","39.63K","0.00%"
"10/19/2023","0.00","0.01","0.01","0.00","53.59K","-58.33%"
"10/18/2023","0.01","0.01","0.01","0.01","13.48K","0.00%"
"10/17/2023","0.01","0.01","0.01","0.01","27.15K","0.00%"
"10/16/2023","0.01","0.01","0.01","0.01","35.97K","0.00%"
"10/13/2023","0.01","0.01","0.01","0.01","13.56K","0.00%"
"10/12/2023","0.01","0.01","0.01","0.01","7.67K","0.00%"
"10/11/2023","0.01","0.00","0.02","0.00","61.16K","0.00%"
"10/10/2023","0.02","0.01","0.02","0.01","375.06K","54.55%"
"10/09/2023","0.01","0.01","0.02","0.01","48.14K","0.00%"
"10/06/2023","0.01","0.01","0.02","0.01","19.88K","-52.17%"
"10/05/2023","0.02","0.01","0.02","0.01","41.64K","0.00%"
"10/04/2023","0.02","0.01","0.02","0.01","8.77K","0.00%"
"10/03/2023","0.02","0.01","0.02","0.01","38.59K","0.00%"
"10/02/2023","0.02","0.01","0.02","0.01","4.34K","0.00%"
"09/29/2023","0.02","0.01","0.03","0.01","47.38K","0.00%"
"09/28/2023","0.03","0.01","0.03","0.01","15.62K","0.00%"
"09/27/2023","0.03","0.03","0.03","0.01","9.94K","-28.57%"
"09/26/2023","0.04","0.01","0.04","0.01","312.52K","105.88%"
"09/25/2023","0.02","0.04","0.04","0.01","324.75K","0.00%"
"09/22/2023","0.02","0.02","0.04","0.01","138.61K","-54.29%"
"09/21/2023","0.04","0.02","0.04","0.02","381.42K","0.00%"
"09/20/2023","0.04","0.03","0.05","0.02","288.21K","-22.22%"
"09/19/2023","0.05","0.05","0.05","0.03","2.28K","0.00%"
"09/18/2023","0.05","0.03","0.05","0.03","35.42K","0.00%"
"09/15/2023","0.05","0.03","0.05","0.03","11.04K","25.00%"
"09/14/2023","0.04","0.03","0.05","0.02","63.30K","53.85%"
"09/13/2023","0.03","0.04","0.05","0.03","371.90K","-48.00%"
"09/12/2023","0.05","0.02","0.05","0.02","47.71K","66.67%"
"09/11/2023","0.03","0.05","0.05","0.03","52.96K","-38.78%"
"09/08/2023","0.05","0.02","0.05","0.02","20.21K","63.33%"
"09/07/2023","0.03","0.02","0.05","0.02","10.80K","-40.00%"
"09/06/2023","0.05","0.04","0.05","0.02","22.11K","25.00%"
"09/05/2023","0.04","0.04","0.05","0.02","26.27K","-27.27%"
"09/01/2023","0.05","0.02","0.05","0.02","14.87K","0.00%"
"08/31/2023","0.05","0.05","0.06","0.02","132.75K","0.00%"
"08/30/2023","0.06","0.06","0.06","0.02","7.90K","0.00%"
"08/29/2023","0.06","0.03","0.08","0.02","53.00K","50.00%"
"08/28/2023","0.04","0.04","0.04","0.02","120.47K","0.00%"
"08/25/2023","0.04","0.03","0.09","0.03","5.81K","21.21%"
"08/24/2023","0.03","0.03","0.04","0.03","6.61K","0.00%"
"08/23/2023","0.03","0.03","0.03","0.03","9.52K","0.00%"
"08/22/2023","0.03","0.03","0.03","0.03","14.49K","0.00%"
"08/21/2023","0.03","0.03","0.04","0.03","11.84K","0.00%"
"08/18/2023","0.03","0.04","0.04","0.03","27.27K","0.00%"
"08/17/2023","0.03","0.03","0.04","0.03","11.79K","0.00%"
"08/16/2023","0.03","0.03","0.04","0.03","16.72K","0.00%"
"08/15/2023","0.03","0.03","0.11","0.03","101.56K","0.00%"
"08/14/2023","0.04","0.02","0.04","0.02","8.95K","16.67%"
"08/11/2023","0.03","0.03","0.04","0.02","94.65K","30.43%"
"08/10/2023","0.02","0.04","0.04","0.02","42.05K","-42.50%"
"08/09/2023","0.04","0.04","0.04","0.02","45.76K","0.00%"
"08/08/2023","0.04","0.03","0.04","0.03","77.88K","33.33%"
"08/07/2023","0.03","0.03","0.03","0.02","34.38K","-25.00%"
"08/04/2023","0.04","0.04","0.06","0.03","121.58K","-20.00%"
"08/03/2023","0.05","0.04","0.06","0.04","85.96K","21.95%"
"08/02/2023","0.04","0.05","0.05","0.04","77.87K","0.00%"
"08/01/2023","0.04","0.03","0.11","0.03","362.45K","-20.00%"
"07/31/2023","0.05","0.05","0.12","0.05","366.85K","-44.44%"
"07/28/2023","0.09","0.09","0.10","0.09","175.31K","-13.21%"
"07/27/2023","0.10","0.09","0.12","0.09","189.40K","22.00%"
"07/26/2023","0.09","0.11","0.12","0.09","266.08K","-36.57%"
"07/25/2023","0.13","0.10","0.14","0.09","97.73K","34.00%"
"07/24/2023","0.10","0.11","0.13","0.10","157.66K","-20.00%"
"07/21/2023","0.13","0.11","0.13","0.10","207.95K","15.74%"
"07/20/2023","0.11","0.13","0.14","0.10","312.75K","-12.48%"
"07/19/2023","0.12","0.12","0.14","0.10","350.99K","12.18%"
"07/18/2023","0.11","0.11","0.14","0.09","952.35K","-20.29%"
"07/17/2023","0.14","0.16","0.16","0.11","989.78K","-13.75%"
"07/14/2023","0.16","0.19","0.20","0.15","3.01M","-14.62%"
"07/13/2023","0.19","0.20","0.21","0.18","1.59M","-4.87%"
"07/12/2023","0.20","0.20","0.22","0.20","543.12K","-2.96%"
"07/11/2023","0.20","0.21","0.22","0.19","1.16M","-4.78%"
"07/10/2023","0.21","0.21","0.22","0.20","670.03K","0.00%"
"07/07/2023","0.21","0.21","0.22","0.20","999.00K","5.00%"
"07/06/2023","0.20","0.20","0.22","0.19","1.33M","0.00%"
"07/05/2023","0.20","0.20","0.21","0.19","2.09M","-3.03%"
"07/03/2023","0.20","0.21","0.22","0.20","664.11K","-4.19%"
"06/30/2023","0.21","0.24","0.26","0.19","3.60M","-12.50%"
"06/29/2023","0.24","0.22","0.30","0.21","9.71M","11.37%"
"06/28/2023","0.22","0.13","0.22","0.13","6.48M","61.79%"
"06/27/2023","0.13","0.14","0.14","0.13","706.01K","-4.86%"
"06/26/2023","0.14","0.14","0.14","0.14","447.72K","0.00%"
"06/23/2023","0.14","0.13","0.14","0.13","229.78K","4.33%"
"06/22/2023","0.13","0.14","0.14","0.13","1.07M","-5.23%"
"06/21/2023","0.14","0.14","0.14","0.14","582.91K","4.04%"
"06/20/2023","0.14","0.14","0.15","0.13","1.30M","0.00%"
"06/16/2023","0.13","0.14","0.15","0.13","1.47M","0.00%"
"06/15/2023","0.13","0.12","0.14","0.12","1.66M","9.17%"
"06/14/2023","0.12","0.13","0.13","0.12","530.50K","-4.76%"
"06/13/2023","0.13","0.12","0.14","0.12","1.09M","0.00%"
"06/12/2023","0.12","0.13","0.13","0.12","380.72K","-6.46%"
"06/09/2023","0.13","0.13","0.13","0.12","1.04M","8.33%"
"06/08/2023","0.12","0.13","0.13","0.11","920.69K","0.00%"
"06/07/2023","0.12","0.11","0.12","0.11","452.38K","4.80%"
"06/06/2023","0.11","0.12","0.12","0.10","509.00K","0.00%"
"06/05/2023","0.11","0.11","0.12","0.11","638.82K","0.00%"
"06/02/2023","0.11","0.12","0.13","0.10","2.25M","-9.92%"
"06/01/2023","0.12","0.12","0.13","0.12","913.77K","0.00%"
"05/31/2023","0.12","0.12","0.13","0.12","890.00K","-8.94%"
"05/30/2023","0.13","0.14","0.15","0.12","1.22M","0.00%"
"05/26/2023","0.13","0.13","0.14","0.13","945.22K","0.00%"
"05/25/2023","0.13","0.12","0.13","0.11","617.95K","5.61%"
"05/24/2023","0.12","0.13","0.13","0.11","1.13M","-8.82%"
"05/23/2023","0.13","0.12","0.14","0.12","1.47M","8.01%"
"05/22/2023","0.12","0.13","0.15","0.11","1.62M","-10.72%"
"05/19/2023","0.14","0.15","0.15","0.13","1.87M","-4.18%"
"05/18/2023","0.15","0.14","0.16","0.12","3.29M","6.57%"
"05/17/2023","0.14","0.13","0.14","0.12","2.63M","12.30%"
"05/16/2023","0.12","0.11","0.13","0.11","1.42M","0.00%"
"05/15/2023","0.12","0.12","0.13","0.11","984.68K","0.00%"
"05/12/2023","0.12","0.13","0.13","0.11","2.21M","-10.80%"
"05/11/2023","0.13","0.13","0.13","0.11","1.57M","0.00%"
"05/10/2023","0.13","0.13","0.14","0.11","3.83M","8.33%"
"05/09/2023","0.12","0.10","0.13","0.09","5.19M","25.52%"
"05/08/2023","0.10","0.09","0.10","0.09","2.43M","6.22%"
"05/05/2023","0.09","0.09","0.10","0.08","2.91M","12.50%"
"05/04/2023","0.08","0.09","0.12","0.07","3.80M","-11.01%"
